,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,有無影片,食材種類,烹飪步驟,url,按讚數
0,0,愛料理,南瓜鹹蛋,https://tokyo-kitchen.icook.network/uploads/recipe/cover/427166/7af6adbd8c757e37.jpg,"1,212",0,None,3,1,https://icook.tw/recipes/427166,3
1,1,愛料理,南瓜西米糕,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425903/b5caa7d91d68079f.jpg,"1,252",60,None,3,7,https://icook.tw/recipes/425903,4
2,2,愛料理,南瓜蒸蛋,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425474/1e08d7526772821a.jpg,"8,572",30,None,3,10,https://icook.tw/recipes/425474,47
3,3,愛料理,南瓜煎餅,https://tokyo-kitchen.icook.network/uploads/recipe/cover/428672/818e399faaa796bb.jpg,"1,915",15,None,4,7,https://icook.tw/recipes/428672,13
4,4,愛料理,鱈魚南瓜湯,https://tokyo-kitchen.icook.network/uploads/recipe/cover/426567/72842d69e463cde6.jpg,801,30,None,4,4,https://icook.tw/recipes/426567,9
5,122,楊桃,南瓜粥(1),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn36-033a_1.jpg,,,,6,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0561,2
6,1130,楊桃,五穀雜糧饅頭,https://d3l76hx23vw40a.cloudfront.net/recipe/00_1.jpg,,,,12,7,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-146,2
7,3373,楊桃,南瓜發糕,https://d3l76hx23vw40a.cloudfront.net/recipe/whk070-010a_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-1039,6
8,4669,楊桃,南瓜鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/gy12-098_1.jpg,,,,7,1,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F06-0209,0
9,6447,楊桃,南瓜甜粥,https://d3l76hx23vw40a.cloudfront.net/recipe/whk064-086b_1.jpg,,,,5,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0748,0
10,17717,楊桃,南瓜麵包(1),https://d3l76hx23vw40a.cloudfront.net/recipe/whk093-117b_1.jpg,,,,8,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-1395,0
11,20868,楊桃,南瓜味噌湯,https://d3l76hx23vw40a.cloudfront.net/recipe/whk092-111a_1.jpg,,,,7,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0904,0
12,21008,楊桃,南瓜濃湯(7),https://d3l76hx23vw40a.cloudfront.net/recipe/whk094-101_1.jpg,,,,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0989,1
13,21435,楊桃,南瓜蒸糕,https://d3l76hx23vw40a.cloudfront.net/recipe/yb33-046_1.jpg,,,,12,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0276,10
14,21439,楊桃,南瓜蛋糕,https://d3l76hx23vw40a.cloudfront.net/recipe/m512_1.jpg,,,,7,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0623,0
15,21445,楊桃,南瓜馬芬,https://d3l76hx23vw40a.cloudfront.net/recipe/qk04-039_1.jpg,,,,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0309,0
16,21450,楊桃,陽光南瓜蛋糕,https://d3l76hx23vw40a.cloudfront.net/recipe/gg39-048_1.jpg,,,,9,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0409,3
17,21457,楊桃,南瓜塔,https://d3l76hx23vw40a.cloudfront.net/recipe/yb16-046_1.jpg,,,,13,7,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-213,0
18,21479,楊桃,南瓜可麗餅,https://d3l76hx23vw40a.cloudfront.net/recipe/yb17-049_1.jpg,,,,3,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-216,1
19,21634,楊桃,南瓜堅果炊飯,https://d3l76hx23vw40a.cloudfront.net/recipe/whk101-039b_1.jpg,,,,11,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-1005,0
20,22727,楊桃,南瓜子五穀麵包,https://d3l76hx23vw40a.cloudfront.net/recipe/yb19-050_1.jpg,,,,10,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-749,0
21,23582,楊桃,南瓜餃子皮,https://d3l76hx23vw40a.cloudfront.net/recipe/00_1.jpg,,,,5,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-1519,0
22,24627,楊桃,南瓜土司,https://d3l76hx23vw40a.cloudfront.net/recipe/yb08-037_1.jpg,,,,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-593,0
23,27589,楊桃,南南魚片,https://d3l76hx23vw40a.cloudfront.net/recipe/whk102-064b_1.jpg,,,,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-1864,0
