,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,有無影片,食材種類,烹飪步驟,url,按讚數
0,0,愛料理,青椒牛肉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/426106/a6394d8bfd0c92b9.jpg,"1,555",10,None,12,8,https://icook.tw/recipes/426106,9
1,1,愛料理,牛肉沙拉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/423068/e542138d8ad98002.jpg,687,10,None,7,14,https://icook.tw/recipes/423068,2
2,2,愛料理,紅酒燉牛肉+紅酒牛肉咖喱,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425173/0f8de3da36e45399.jpg,"1,359",15,None,5,8,https://icook.tw/recipes/425173,4
3,3,愛料理,牛肉丼烏龍麵,https://tokyo-kitchen.icook.network/uploads/recipe/cover/423364/c2f568384acad71d.jpg,316,30,None,10,6,https://icook.tw/recipes/423364,3
4,4,愛料理,芥藍牛肉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/423664/9005179b4a329492.jpg,"2,219",30,None,15,9,https://icook.tw/recipes/423664,13
5,23,楊桃,紅蘿蔔滷牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/gy58-033_1.jpg,,,,9,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0772,35
6,167,楊桃,香煎牛肉茄子,https://d3l76hx23vw40a.cloudfront.net/recipe/aa007-057_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0981,14
7,221,楊桃,洋蔥炒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn65-019b_1.jpg,,,,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0889,10
8,233,楊桃,鐵板牛柳(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk164-011b_1.jpg,,,,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0737,8
9,247,楊桃,蔥爆牛肉(17),https://d3l76hx23vw40a.cloudfront.net/recipe/bk207-012a_1.jpg,,,,12,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0942,10
10,285,楊桃,牛肉水餃,https://d3l76hx23vw40a.cloudfront.net/recipe/yq19-004a_1.jpg,,,,11,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0402,8
11,391,楊桃,蠔油牛肉燴飯(1),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn02-012_1.jpg,,,,22,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0446,5
12,435,楊桃,蔥爆牛肉(16),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn40-019b_1.jpg,,,,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0851,6
13,458,楊桃,滑蛋牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/gy08-061_1.jpg,,,,10,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0685,2
14,468,楊桃,蔥爆牛肉(10),https://d3l76hx23vw40a.cloudfront.net/recipe/bk164-008_1.jpg,,,,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0734,71
15,473,楊桃,蕃茄牛肉燴飯,https://d3l76hx23vw40a.cloudfront.net/recipe/bk34-041b_1.jpg,,,,12,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-345,5
16,516,楊桃,牛肉炒麵,https://d3l76hx23vw40a.cloudfront.net/recipe/gy33-013_1.jpg,,,,15,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0719,1
17,641,楊桃,蕃茄紅燒牛肉麵,https://d3l76hx23vw40a.cloudfront.net/recipe/whk27-119_1.jpg,,,,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-306,7
18,742,楊桃,蘆筍炒牛柳,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn65-018_1.jpg,,,,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0887,2
19,824,楊桃,牛肉滑腸粉,https://d3l76hx23vw40a.cloudfront.net/recipe/sogo-090b_1.jpg,,,,18,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=H01-268,7
20,936,楊桃,蠔油牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/bk66-010b_1.jpg,,,,20,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-171,4
21,946,楊桃,滑蛋牛肉燴飯,https://d3l76hx23vw40a.cloudfront.net/recipe/gy61-030_1.jpg,,,,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0799,1
22,948,楊桃,滑蛋牛肉粥,https://d3l76hx23vw40a.cloudfront.net/recipe/bk56-013b_1.jpg,,,,9,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-415,1
23,1274,楊桃,彩椒牛肉粒,https://d3l76hx23vw40a.cloudfront.net/recipe/gy55-066_1.jpg,,,,14,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0789,4
24,1346,楊桃,清燉牛肉麵,https://d3l76hx23vw40a.cloudfront.net/recipe/ck64-015_1.jpg,,,,4,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0507,0
25,1379,楊桃,宮保牛肉(3),https://d3l76hx23vw40a.cloudfront.net/recipe/gy46-049a_1.jpg,,,,16,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0753,1
26,1467,楊桃,韭黃炒牛肉絲,https://d3l76hx23vw40a.cloudfront.net/recipe/gy34-028a_1.jpg,,,,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0726,1
27,1470,楊桃,豉椒炒牛肉(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk153-017_1.jpg,,,,17,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0688,0
28,1584,楊桃,蔥爆牛肉片,https://d3l76hx23vw40a.cloudfront.net/recipe/bk184-018_1.jpg,,,,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0823,3
29,1590,楊桃,沙茶洋蔥炒牛柳,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn43-024_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0858,1
30,1657,楊桃,蕃茄炒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/m655_1.jpg,,,,16,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0912,1
31,1713,楊桃,蔥爆牛肉(9),https://d3l76hx23vw40a.cloudfront.net/recipe/gy08-059_1.jpg,,,,14,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0682,2
32,1861,楊桃,青椒牛肉炒飯(3),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn32-025_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0843,0
33,1887,楊桃,牛丼飯(1),https://d3l76hx23vw40a.cloudfront.net/recipe/0700_1.jpg,,,,9,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0948,1
34,1921,楊桃,芹菜炒牛肉 ,https://d3l76hx23vw40a.cloudfront.net/recipe/m1097_1.jpg,,,,12,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0926,3
35,1986,楊桃,麻油芥蘭炒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn69-015b_1.jpg,,,,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0930,2
36,2060,楊桃,牛肉清湯,https://d3l76hx23vw40a.cloudfront.net/recipe/bk76-017a_1.jpg,,,,9,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-230,1
37,2103,楊桃,鐵板牛柳,https://d3l76hx23vw40a.cloudfront.net/recipe/bk119-032_1.jpg,,,,15,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0488,1
38,2134,楊桃,蕃茄火鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/bk155-014_1.jpg,,,,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F07-0518,11
39,2174,楊桃,蠔油芥蘭牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/gy55-058a_1.jpg,,,,14,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0783,3
