,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,有無影片,食材種類,烹飪步驟,url,按讚數
0,0,愛料理,韓式辣豆腐鍋,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425774/80456af58f68b822.jpg,744,20,None,13,1,https://icook.tw/recipes/425774,5
1,1,愛料理,韓式牛肉豆腐煲,https://tokyo-kitchen.icook.network/uploads/recipe/cover/423680/02e16919b9256a86.jpg,"1,667",15,None,14,5,https://icook.tw/recipes/423680,11
2,2,愛料理,韓式泡菜豆腐鍋,https://tokyo-kitchen.icook.network/uploads/recipe/cover/420735/13775c43ed9bc8b6.jpg,"2,749",45,None,14,4,https://icook.tw/recipes/420735,13
3,3,愛料理,豆腐肉捲,https://tokyo-kitchen.icook.network/uploads/recipe/cover/406359/c2d0bf9b072ecbb4.jpg,"1,940",0,None,11,5,https://icook.tw/recipes/406359,6
4,4,愛料理,川味牛肉豆腐煲,https://tokyo-kitchen.icook.network/uploads/recipe/cover/416179/94566bfbd15a346c.jpg,"1,780",20,None,8,9,https://icook.tw/recipes/416179,11
5,401,楊桃,紅燒嫩豆腐,https://d3l76hx23vw40a.cloudfront.net/recipe/gy51-019_1.jpg,,,,9,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0309,3
6,605,楊桃,紅燒牛肉麵(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk76-016b_1.jpg,,,,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-229,0
7,1004,楊桃,羊肉爐(4),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn70-025_1.jpg,,,,19,11,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A04-0157,73
8,1406,楊桃,腐乳排骨,https://d3l76hx23vw40a.cloudfront.net/recipe/bk49-038b_1.jpg,,,,8,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-244,2
9,2134,楊桃,蕃茄火鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/bk155-014_1.jpg,,,,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F07-0518,11
10,3236,楊桃,麻辣火鍋(3),https://d3l76hx23vw40a.cloudfront.net/recipe/gy12-014_1.jpg,,,,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0671,0
11,3872,楊桃,薑母鴨沾醬,https://d3l76hx23vw40a.cloudfront.net/recipe/bk71-027b_1.jpg,,,,4,1,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=I03-376,0
12,3909,楊桃,腐乳拌過貓,https://d3l76hx23vw40a.cloudfront.net/recipe/whk054-013b_1.jpg,,,,4,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0798,5
13,4539,楊桃,紅燒嫩豆腐(1),https://d3l76hx23vw40a.cloudfront.net/recipe/gy51-019_1.jpg,,,,9,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0310,0
14,5694,楊桃,豆腐麻糬,https://d3l76hx23vw40a.cloudfront.net/recipe/whk090-116c_1.jpg,,,,10,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0561,0
15,5920,楊桃,奶香焗芙蓉,https://d3l76hx23vw40a.cloudfront.net/recipe/whk30-131c_1.jpg,,,,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-086,16
16,5974,楊桃,山野椎茸芙蓉,https://d3l76hx23vw40a.cloudfront.net/recipe/whk30-130b_1.jpg,,,,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-083,0
17,6328,楊桃,京醬牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/sauce-36b_1.jpg,,,,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-039,0
18,6642,楊桃,砂鍋魚頭火鍋(2),https://d3l76hx23vw40a.cloudfront.net/recipe/whk22-130_1.jpg,,,,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-187,43
19,6929,楊桃,台式麻辣鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn092-032_1.jpg,,,,15,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2623,0
20,6934,楊桃,滷味拼盤(1),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn41-040_1.jpg,,,,10,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0385,0
21,7132,楊桃,沙茶石頭火鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/whk093-035b_1.jpg,,,,16,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1114,0
22,7382,楊桃,茄子壽喜燒,https://d3l76hx23vw40a.cloudfront.net/recipe/ck60-025_1.jpg,,,,9,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0294,0
23,7765,楊桃,羊肉爐沾料,https://d3l76hx23vw40a.cloudfront.net/recipe/sauce-59a_1.jpg,,,,6,1,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=I03-024,1
24,8442,楊桃,清炖牛肉麵,https://d3l76hx23vw40a.cloudfront.net/recipe/bk76-017b_1.jpg,,,,6,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-231,0
25,8457,楊桃,腐皮豆腐,https://d3l76hx23vw40a.cloudfront.net/recipe/whk30-110_1.jpg,,,,8,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-060,0
26,8702,楊桃,豆腐冬瓜盒,https://d3l76hx23vw40a.cloudfront.net/recipe/whk30-130a_1.jpg,,,,8,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-082,0
27,9824,楊桃,麻辣牛肉麵,https://d3l76hx23vw40a.cloudfront.net/recipe/bk76-015b_1.jpg,,,,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-528,1
28,10267,楊桃,麻香辣蓉豆腐,https://d3l76hx23vw40a.cloudfront.net/recipe/whk30-131b_1.jpg,,,,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-085,0
