,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,按讚數,食材種類,烹飪步驟,url,營養資訊
0,0,愛料理,再來一碗~我家牛丼,https://tokyo-kitchen.icook.network/uploads/recipe/cover/427806/dd4a5d34fd144407.jpg,383,20,2,3,6,https://icook.tw/recipes/427806,None
1,1,愛料理,單純簡單~滑蛋牛肉飯,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425889/231b9376bce64ca2.jpg,866,15,6,4,6,https://icook.tw/recipes/425889,None
2,2,愛料理,省時豐富~芥藍牛肉飯,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425532/835824ef19900264.jpg,451,15,3,4,5,https://icook.tw/recipes/425532,None
3,3,愛料理,咖哩飯,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425460/aedd22771c9cccb2.jpg,"1,880",0,2,3,3,https://icook.tw/recipes/425460,None
4,4,愛料理,bolulak,https://tokyo-kitchen.icook.network/uploads/recipe/cover/422370/dda1ed507d809a3b.jpg,256,10,3,2,3,https://icook.tw/recipes/422370,None
5,23,楊桃,紅蘿蔔滷牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/gy58-033_1.jpg,,,35,9,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0772,
6,167,楊桃,香煎牛肉茄子,https://d3l76hx23vw40a.cloudfront.net/recipe/aa007-057_1.jpg,,,14,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0981,
7,221,楊桃,洋蔥炒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn65-019b_1.jpg,,,10,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0889,
8,233,楊桃,鐵板牛柳(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk164-011b_1.jpg,,,8,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0737,
9,247,楊桃,蔥爆牛肉(17),https://d3l76hx23vw40a.cloudfront.net/recipe/bk207-012a_1.jpg,,,10,12,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0942,
10,285,楊桃,牛肉水餃,https://d3l76hx23vw40a.cloudfront.net/recipe/yq19-004a_1.jpg,,,8,11,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0402,
11,391,楊桃,蠔油牛肉燴飯(1),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn02-012_1.jpg,,,5,22,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0446,
12,435,楊桃,蔥爆牛肉(16),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn40-019b_1.jpg,,,6,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0851,
13,458,楊桃,滑蛋牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/gy08-061_1.jpg,,,2,10,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0685,
14,468,楊桃,蔥爆牛肉(10),https://d3l76hx23vw40a.cloudfront.net/recipe/bk164-008_1.jpg,,,71,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0734,
15,473,楊桃,蕃茄牛肉燴飯,https://d3l76hx23vw40a.cloudfront.net/recipe/bk34-041b_1.jpg,,,5,12,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-345,
16,516,楊桃,牛肉炒麵,https://d3l76hx23vw40a.cloudfront.net/recipe/gy33-013_1.jpg,,,1,15,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0719,
17,641,楊桃,蕃茄紅燒牛肉麵,https://d3l76hx23vw40a.cloudfront.net/recipe/whk27-119_1.jpg,,,7,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-306,
18,742,楊桃,蘆筍炒牛柳,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn65-018_1.jpg,,,2,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0887,
19,824,楊桃,牛肉滑腸粉,https://d3l76hx23vw40a.cloudfront.net/recipe/sogo-090b_1.jpg,,,7,18,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=H01-268,
20,936,楊桃,蠔油牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/bk66-010b_1.jpg,,,4,20,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-171,
21,946,楊桃,滑蛋牛肉燴飯,https://d3l76hx23vw40a.cloudfront.net/recipe/gy61-030_1.jpg,,,1,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0799,
22,948,楊桃,滑蛋牛肉粥,https://d3l76hx23vw40a.cloudfront.net/recipe/bk56-013b_1.jpg,,,1,9,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-415,
