,index,Website,按讚數,烹飪時間,食譜名稱,url,圖片連結,食材種類,營養資訊,烹飪步驟,有無影片
0,0,kitchen_story,277000,45,豬肉包子,https://www.chufanggushi.com/shi-pu/zheng-zhu-rou-cha-shao-bao-zh,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",14.0,"['卡路里', '315', '蛋白質', '30 克', '脂肪', '4 克', '碳水化合物', '40 克']",4.0,Y
1,22,楊桃,96,,醬爆肉片,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1949,https://d3l76hx23vw40a.cloudfront.net/recipe/bk184-009_1.jpg,10.0,,4.0,
2,47,楊桃,35,,台式炸排骨,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1916,https://d3l76hx23vw40a.cloudfront.net/recipe/bk179-017_1.jpg,9.0,,3.0,
3,74,楊桃,24,,台式鹹粥(2),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2009,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn36-017_1.jpg,14.0,,3.0,
4,78,楊桃,11,,台式炒麵,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1985,https://d3l76hx23vw40a.cloudfront.net/recipe/bk183-033a_1.jpg,13.0,,4.0,
5,87,楊桃,22,,傳統油飯,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-548,https://d3l76hx23vw40a.cloudfront.net/recipe/hq06-008_1.jpg,15.0,,9.0,
6,99,楊桃,6,,京醬肉絲(2),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1573,https://d3l76hx23vw40a.cloudfront.net/recipe/gy34-013a_1.jpg,12.0,,3.0,
7,121,楊桃,23,,冬瓜滷肉,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2299,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn62-013_1.jpg,9.0,,3.0,
8,253,楊桃,5,,肉圓,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1851,https://d3l76hx23vw40a.cloudfront.net/recipe/gy67-014_1.jpg,11.0,,5.0,
9,269,楊桃,4,,豆干炒肉絲(1),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=E01-0205,https://d3l76hx23vw40a.cloudfront.net/recipe/bk207-012b_1.jpg,16.0,,5.0,
