,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,按讚數,食材種類,烹飪步驟,url
0,0,愛料理,小管炒時蔬,https://tokyo-kitchen.icook.network/uploads/recipe/cover/422457/b0ce9405abd9df9b.jpg,"1,269",20,4,11,4,https://icook.tw/recipes/422457
1,1,愛料理,今日菜單-茄汁彩椒肉醬,https://tokyo-kitchen.icook.network/uploads/recipe/cover/420244/0c6da357ff391db8.jpg,"1,393",20,13,8,15,https://icook.tw/recipes/420244
2,2,愛料理,《🥂小酒館的開胃菜》🌿西班牙蒜香蝦🍤,https://tokyo-kitchen.icook.network/uploads/recipe/cover/427599/41fc9671b7f1c590.jpg,"2,403",30,51,15,12,https://icook.tw/recipes/427599
3,3,愛料理,乾燒五彩軟絲【李錦記乾燒大蝦用醬】,https://tokyo-kitchen.icook.network/uploads/recipe/cover/421567/90096ab4b8fa6f10.jpg,322,15,4,9,10,https://icook.tw/recipes/421567
4,4,愛料理,彩椒炒肉片,https://tokyo-kitchen.icook.network/uploads/recipe/cover/409155/4003c91e5e72f777.jpg,"6,526",10,52,4,5,https://icook.tw/recipes/409155
5,10,楊桃,黑椒豬柳,https://d3l76hx23vw40a.cloudfront.net/recipe/gy34-026a_1.jpg,,,73,13,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1612
6,13,楊桃,醬爆雞丁(2),https://d3l76hx23vw40a.cloudfront.net/recipe/gy34-021a_1.jpg,,,43,14,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-1113
7,22,楊桃,醬爆肉片,https://d3l76hx23vw40a.cloudfront.net/recipe/bk184-009_1.jpg,,,96,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1949
8,69,楊桃,炒三鮮,https://d3l76hx23vw40a.cloudfront.net/recipe/bk119-012b_1.jpg,,,24,14,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B04-0208
9,93,楊桃,炒豆包,https://d3l76hx23vw40a.cloudfront.net/recipe/gy34-047b_1.jpg,,,3,6,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=E01-0141
