,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,有無影片,食材種類,烹飪步驟,url,按讚數
0,0,愛料理,高麗菜蛋,https://tokyo-kitchen.icook.network/uploads/recipe/cover/426172/c6e5e0fc0fb56613.jpg,"2,148",0,None,3,6,https://icook.tw/recipes/426172,16
1,1,愛料理,炒高麗菜要加米酒才讚,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425812/c7f35a691eb57467.jpg,"1,681",5,None,3,1,https://icook.tw/recipes/425812,14
2,2,愛料理,清炒高麗菜,https://tokyo-kitchen.icook.network/uploads/recipe/cover/423668/19e4260daa249eee.jpg,"5,130",0,None,3,5,https://icook.tw/recipes/423668,18
3,3,愛料理,高麗菜炒培根/微波料理/懶人食尚,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425162/d91d585f128162b2.jpg,844,5,None,3,2,https://icook.tw/recipes/425162,5
4,4,愛料理,鮮蔬炒食蔬,https://tokyo-kitchen.icook.network/uploads/recipe/cover/428394/9b90636268cb0aeb.jpg,237,0,None,5,3,https://icook.tw/recipes/428394,3
5,5,kitchen_story,烤鵝腿佐鮮奶油尖頭高麗菜,https://images.kitchenstories.io/wagtailOriginalImages/R1793-photo-final-2/R1793-photo-final-2-small-portrait-150.jpg,None,170,Y,18,3,https://www.chufanggushi.com/shi-pu/kao-e-tui-zuo-xian-nai-you-jian-tou-gao-li-cai,1122
6,6,kitchen_story,炒胡蘿蔔和尖頭高麗菜,https://images.kitchenstories.io/wagtailOriginalImages/pointed-cabbage3x4/pointed-cabbage3x4-small-portrait-150.jpg,None,20,N,9,2,https://www.chufanggushi.com/shi-pu/chao-hu-luo-bu-he-jian-tou-gao-li-cai,848
7,2,楊桃,蔬菜煎餅(5),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn60-030_1.jpg,,,,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0724,95
8,20,楊桃,蔬菜蛋餅(3),https://d3l76hx23vw40a.cloudfront.net/recipe/aa007-042a_1.jpg,,,,7,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0773,27
9,32,楊桃,香煎雞腿排,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn07-029_1.jpg,,,,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-0839,66
10,66,楊桃,羅宋湯(6),https://d3l76hx23vw40a.cloudfront.net/recipe/gy62-049_1.jpg,,,,7,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0793,23
11,104,楊桃,什錦湯麵,https://d3l76hx23vw40a.cloudfront.net/recipe/bk142-037_1.jpg,,,,17,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B04-0254,25
12,147,楊桃,海鮮煎餅(5),https://d3l76hx23vw40a.cloudfront.net/recipe/aa010-101_1.jpg,,,,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B04-0540,5
13,148,楊桃,腐乳炒高麗菜,https://d3l76hx23vw40a.cloudfront.net/recipe/bk82-035a_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-149,28
